DISCIPLINE,ASSO_NOM,site web,QUARTIERS,COMPLEXE,UNITE FONCTIONNELLE,RUE_LIBELLE,UF_CP,UF_Commune,0-3ans,3-6ans,6-12ans,12-15ans,juniors16-20ans,adultes,séniors,handicapés,geolocalisation,
BADMINTON,ASSOCIATION SPORTIVE TOULOUSE MIRAIL BADMINTON,www.astmb.fr,Bellefontaine,ENSEMBLE VALMY BELLEFONTAINE,GYMNASE VALMY,Cheminement Guillaume et Joseph Bouton,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.609585, 1.339368
BOWLING,ASPTT section BOWLING,www.toulouse.asptt.com,Montaudran Lespinet,COMPLEXE PRIVÉ,Bowling de Montaudran,Impasse Louise Labe,,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.640484, 1.453579
BOWLING,ASSOCIATION SPORTIVE AIR FRANCE,www.asaf.sport.asso.fr,Gramont,COMPLEXE PRIVÉ,Bowling de Gramont,Chemin de Gabardie,31500.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.580282, 1.4715989999999999
BOWLING,BOWLERS TOULOUSAINS,,Gramont,COMPLEXE PRIVÉ,Bowling de Gramont,Chemin de Gabardie,31500.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.608715, 1.475931
BOWLING,BOWLING CLUB 31,,,COMPLEXE PRIVÉ,Bowling de Labège,,31670.0,Labège,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.584752, 1.525733
gymnastique volontaire,AGV EMILE ZOLA,,Saint Michel,SALLE BERTRAND SONCOURT,SALLE BERTRAND SONCOURT,Rue du Gorp,,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.587782, 1.44967
gymnastique volontaire,ASCGMP - ASSOCIATION SPORTIVE & CULTURELLE DE LA GENDARMERIE MIDI PYRENEES - SECTION COURREGE,,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,,
gymnastique volontaire,TAC section GYMNASTIQUE VOLONTAIRE,,La Fourguette,Stade du TAC,Stade de Gironis,Rue de Gironis,31100.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.564802, 1.414267
équitation,ECURIES DE LA BERGERIE,www.ecuriedelabergerie.com,,COMPLEXE PRIVÉ,Ecuries de la Bergerie,,31280.0,Mons,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,43.610586, 1.573372
escrime,CSAG - CLUB SPORTIF ET ARTISTIQUE DE GARNISON TOULOUSE,,,Quartier Balma Ballon,Quartier Balma Ballon,,31130.0,Balma,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
escrime,TUC Section ESCRIME,www.tuc-escrime.com,Château de L'Hers,ENSEMBLE CHATEAU DE L'HERS,SALLE D'ESCRIME COMPLEXE SPORTIF DE L'HERS,Rue Claudius Rougenet,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.599624, 1.485406
FOOTBALL,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,www.ascm-montaudran.com,Montaudran Lespinet,GROUPE SCOLAIRE MONTAUDRAN,TERRAIN DE SPORT MONTAUDRAN,Impasse Gaston Genin,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.573964, 1.48466
football américain,LES OURS,www.ours-toulouse.com,Juncasse - Argoulets,LES ARGOULETS,STADE ARGOULETS,Rue de Rabastens,31500.0,TOULOUSE,Non,Non,Non,Oui,Oui,Non,Oui,Non,43.686596, 1.441652
karaté,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,,Sept Deniers,Complexe du TOAC,Fronton du TOAC,Chemin de Garric,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.620162, 1.408135
ALPINISME,CADETS DE TOULOUSE,www.kdtoulouse.free.fr,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
AQUAGYM,STADE TOULOUSAIN NATATION,www.stadetoulousainnatation.fr,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
NATATION,ASPTT section NATATION,www.toulouse.asptt.com,,,,,,,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
NATATION SYNCHRONISEE,TOULOUSE NAT SYNCHRO,www.toulouse-natsynchro.fr,Bellefontaine,ALBAN MINVILLE,PISCINE ALBAN MINVILLE,Allée de Bellefontaine,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.608085, 1.426837
pétanque,AVENIR PETANQUE SAINT SIMON,,Saint Simon,EQUIPEMENTS QUARTIER ST SIMON,BOULODROME COUVERT JEAN DANIEL SAINT SIMON,Rue du Cimetière Saint Simon,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.556286, 1.382822
pétanque,CLUB PETANQUE LA TERRASSE,,La Terrasse,ENSEMBLE DE LA TERRASSE,BOULODROME LA TERRASSE,Impasse Eugène Trutat,31500.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.583899, 1.485436
pétanque,PETANQUE CLUB ANCELY,,Purpan,Nouveau Complexe Municipal,Boulodrome Ancely,Allée de la Limagne,31300.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.619607, 1.398836
rugby,TEC - Toulouse Electrogaz Club,,,,,,,,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,43.604268, 1.441019
rugby,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,,Casselardit,STADE DU TOEC,STADE DU TOEC,Rue Ernest Dufer,31300.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.633008, 1.443865
ski de fond,CLUB ALPIN FRANCAIS DE TOULOUSE,caftoulouse.free.fr,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
snowboard (surf des neiges),CLUB ALPIN FRANCAIS DE TOULOUSE,caftoulouse.free.fr,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
patinage artistique,TOULOUSE CLUB DE PATINAGE,toulouseclubpatinage.com,Juncasse - Argoulets,LES ARGOULETS,PATINOIRE FRATERNITE,Avenue de l' Hers,31500.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,,
taï chi chuan/Qi Gong,ASSOCIATION TAO,www.croixdepierreculture.free.fr,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
taï chi chuan/Qi Gong,DOUCEUR DE VIE,www.douceurdevie.com,Saint Cyprien,Prairie des filtres,Prairie des Filtres,Cours Dillon,31300.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.600201, 1.4451640000000001
tennis,A S MACCABI TOULOUSE,www.maccabitoulouse.com,Sept Deniers,TENNIS DES PONTS JUMEAUX,TENNIS COUVERTS PONT JUMEAUX,Rue des Sports,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.606054, 1.4411049999999999
tennis,EMULATION NAUTIQUE DE TOULOUSE,www.aviron-tennis.fr,Ramier,COMPLEXE PRIVÉ,Emulation Nautique de Toulouse,Allée Alfred Mayssonnie,31400.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.590233, 1.436469
VOLLEY BALL,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,,Sept Deniers,Complexe du TOAC,Gymnase Emile Dewoitine,Chemin de Garric,31200.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.620162, 1.408135
VIET VO DAO,Thieu Lam Hông Quyên,www.hongquyen.com,Patte d'Oie,COMPLEXE PRIVÉ,Académie des Arts Martiaux de Toulouse,Avenue de Lombez,31300.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.558481, 1.279141
AIKIDO,ASEAT,www.aseat.fr,Juncasse - Argoulets,Complexe ASEAT,Installations CEAT,Rue d' Oran,31500.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Non,Non,43.615771, 1.470962
AIKIDO,BALMA SAINT EXUPERY 31,www.bse31.com,Pont des Demoiselles,COMPLEXE PRIVÉ,Balma Saint-Exupéry 31,Avenue Antoine de Saint Exupéry,31400.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.583177, 1.471575
AVIRON,ASSOCIATION TOULOUSE PIERRE PAUL RIQUET,atppr.free.fr,Ramier,COMPLEXE PRIVÉ,Emulation Nautique de Toulouse,Allée Alfred Mayssonnie,31400.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.774297, 1.686036
CANOE-KAYAK,CANOE KAYAK TOULOUSAIN,ckt.free.fr,,Rivières et fleuves,Ariège et Garonne,,,En Ariège et Garonne,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,43.604268, 1.441019
CANOE-KAYAK,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,,,,,,,,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
VTT,CLUB ALPIN FRANCAIS DE TOULOUSE,caftoulouse.free.fr,,Extérieurs de Toulouse,Région Midi-Pyrénées,,,En région Midi-Pyrénées,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
échecs,CERCLE AIRBUS TOULOUSE ECHECS,cateairbus.free.fr,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,,
échecs,CLUB D'ECHECS INTERNATIONAL DE TOULOUSE,ceit.free.fr,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.604268, 1.441019
gymnastique volontaire,GYM SAINT MARTIN,,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
plongée,ASCUPS,,,,,,,,Non,Non,Non,Oui,Oui,Oui,Non,Non,,
plongée,ASPTT section PLONGEE,www.toulouse.asptt.com,,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,43.604268, 1.441019
frisbee,TUC Section ULTIMATE,www.toulouseultimate.free.fr,Ramier,Stade Universitaire Daniel Faucher,Stade Universitaire Daniel Faucher,Allée du Professeur Camille Soula,31400.0,Toulouse,Non,Non,Non,Non,Oui,Oui,Non,Non,43.580038, 1.435198
FOOTBALL,UNION SPORTIVE BAGATELLE,,Bagatelle,ENSEMBLE BAGATELLE,STADE VINCENT SERRER,Impasse du Bachaga Boualam,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.579345, 1.409171
gymnastique volontaire,SAKURA CLUB TOULOUSAIN,asct.toulouse.free.fr,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Oui,43.604268, 1.441019
VOILE,ASPTT GRAND TOULOUSE OMNISPORT,,,Complexe ASPTT,Base nautique,,31390.0,Carbonne,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
JUDO,CROIX DE PIERRE JUDO,croixdepierrejudo.free.fr,Croix de Pierre,COLLEGE MAURICE BECANNE,GYMNASE MAURICE BECANNE,Rue Pierre Bourthoumieux,31300.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Non,Non,43.577256, 1.262603
kung-Fu,L'UNION DES ARTS,www.uniondesarts.com,Guilheméry,COMPLEXE PRIVÉ,L'Union des Arts,Rue Clément,31500.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.605744, 1.465466
CANYONISME,JACUZZI,www.canyonjacuzzi.com,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.604268, 1.441019
ESCALADE,ESCAPADE CLUB,escapadeclub.net,Mirail Université,COSEC MIRAIL,COSEC DU MIRAIL,Rue Ferdinand Laulanie,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.616859, 1.421328
BOXE THAILANDAISE / MUAY THAI,BALMA SAINT EXUPERY 31,www.bse31.com,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
éveil aquatique,BEBES DAUPHINS TOULOUSAINS,www.bbdt31.org,Bellefontaine,ALBAN MINVILLE,PISCINE ALBAN MINVILLE,Allée de Bellefontaine,31100.0,TOULOUSE,Oui,Oui,Non,Non,Non,Non,Non,Non,43.608085, 1.426837
NATATION,INSTITUT GYMNIQUE DE TOULOUSE,,Rangueil - CHR - Facultés,ZONE VERTE DE PECH DAVID,PISCINE PECH DAVID,Chemin des côtes de Pech David,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.614954, 1.499982
pétanque,BOULES RAPHAEL PARC,,Les Izards,STADE GEORGES RIGAL,BOULODROME RIGAL,Rue Raphaël,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.642774, 1.440821
randonnée Pédestre,APYA Association Pyrénées Autrement,assoc.orange.fr/Pyrenees.autrement,,,,,,,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
retraite sportive,ASTORS - Association Toulousaine de la Retraite Sportive,,Ramier,PARC DES SPORTS,PISCINE NAKACHE,Allée Gabriel Biénès,31400.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Oui,Non,,
roller,ROULEZ ROSE,www.roulezrose.com,Château de L'Hers,ENSEMBLE SPORTIF CHATEAU HERS,GYMNASE CHATEAU DE L'HERS,Chemin de Limayrac,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.589237, 1.489429
BOXE FRANCAISE,TOULOUSE MULTI BOXE,tmboxe.free.fr,Faourette,ENSEMBLE LA FAOURETTE,GYMNASE LA FAOURETTE,Rue Paul Lambert,31100.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.593607, 1.462219
CANNE SPORTIVE ET BATON,TUC OMNISPORTS- Toulouse Université Club,www.tuc-cc.asso.st,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.559419, 1.653837
kick boxing,TOULOUSE MULTI BOXE,tmboxe.free.fr,Faourette,ENSEMBLE LA FAOURETTE,GYMNASE LA FAOURETTE,Rue Paul Lambert,31100.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.593607, 1.462219
spéléologie,GROUPE SPELEOLOGIQUE DES PYRENEES,,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.480833, 1.430772
AUTOMOBILE,ASSOCIATION SPORTIVE AUTOMOBILE CLUB DU MIDI,,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Oui,,
squash,TOAC Section SQUASH,www.toacsquash.com,Sept Deniers,Complexe du TOAC,Salle de sports du TOAC,Chemin de Garric,31200.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.620162, 1.408135
taï chi chuan/Qi Gong,ASSOCIATION YIM WING CHUN,yimwingchun.free.fr,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
duathlon et triathlon,TOULOUSE TRIATHLON,www.toulouse-tri.com,Juncasse - Argoulets,Complexe ASEAT,Installations CEAT,Rue d' Oran,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.615771, 1.470962
duathlon et triathlon,TUC TRI 31,www.tuc-triathlon.com,Papus,GROUPE SCOLAIRE JACQUIER,PISCINE PAPUS,Allée de Guyenne,31100.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Oui,43.484576, 1.389978
VOILE,RACING CLUB OLYMPIQUE,,,,,,,,Non,Non,Non,Non,Oui,Oui,Non,Non,43.604268, 1.441019
ULM et voltige,AEROCLUB M. DASSAULT & L. BREGUET,dassaultbreguet31.free.fr,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.609568, 1.497847
VOLLEY BALL,TROPIK 'CLUB TOULOUSE,www.tropikfc.fr,Croix Daurade,GYMNASE GEORGES OHNET,GYMNASE GEORGES OHNET,Rue Georges Ohnet,31200.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.583979, 1.453411
YOGA,GV SPORT SANTE,gvsportsante.com,,,,,,,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
DANSE DE SALON / DANSE PAR COUPLES,ETOILE TOULOUSAINE,www.coursnicholas.com,Saint Aubin - Dupuy,COMPLEXE PRIVÉ,L'Etoile Toulousaine,Rue de l' Etoile,31000.0,Toulouse,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.60142, 1.453768
FOOTBALL,TOULOUSE SAINT JO,www.toulousestjofooball.eu,,ENSEMBLE GRANDE PLAINE,TERRAIN DE FOOTBALL STABILISE GRANDE PLAINE,,31500.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
handball,TOULOUSE FEMININ HANDBALL,www.tfhb.org,Juncasse - Argoulets,LES ARGOULETS,GYMNASE DES ARGOULETS,Rue Dinetard,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.614806, 1.478052
NATATION,TOAC NATATION,www.toacnatation.org,,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,43.604268, 1.441019
KINOMICHI METHODE NORO,ESPACE KINOMICHI,,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
Raquette à neige,CLUB ALPIN FRANCAIS DE TOULOUSE,caftoulouse.free.fr,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
NATATION,LES DAUPHINS DU TOEC,www.lesdauphinsdutoec.com,Ramier,PARC DES SPORTS,PISCINE SPORTIVE CASTEX,Allée Gabriel Biénès,31400.0,TOULOUSE,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.60593, 1.453138
pétanque,BOULING CLUB SPORTIF DE ROGUET,joseroguet@orange.fr,Patte d'Oie,Boulodrome Roguet,Boulodrome Roguet,Rue de Gascogne,31300.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Oui,43.596346, 1.427446
pétanque,CLUB BOULISTE LE TRACASSIN,,Amidonniers,CLUB BOULISTE DES AMIDONNIERS,BOULODROME TRACASSIN RUE DES AMIDONNIERS,Rue des Amidonniers,31000.0,TOULOUSE,Non,Non,Oui,Non,Oui,Oui,Oui,Non,43.606332, 1.422301
retraite sportive,ASTORS - Association Toulousaine de la Retraite Sportive,,Lalande,Nouveau Complexe Municipal,Centre d'animation Lalande,Avenue de Fronton,31200.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Oui,Non,43.645455, 1.4332
rugby,TOULOUSE FEMINA SPORT,,,Collège de Cautelauze,Collège de Cantelauze,,31470.0,Fonsorbes,Non,Non,Non,Oui,Oui,Oui,Non,Non,43.565192, 1.296042
sauvetage et secourisme,CLUB DE SAUVETAGE TOULOUSAIN,,Rangueil - CHR - Facultés,ENSEMBLE SPORTIF BELLEVUE,PISCINE BELLEVUE,Chemin de la Salade Ponsan,31400.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Non,Non,43.536958, 1.470415
SHINTAIDO/KENKO TAISO,ASSOCIATION ALIZARINE,shintaidotoulouse.wordpress.com,La Fourguette,COMPLEXE SPORTIF DE GIRONIS,GYMNASE GIRONIS,Rue de Gironis,31100.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.619623, 1.4433129999999998
SHINTAIDO/KENKO TAISO,ASSOCIATION ALIZARINE,shintaidotoulouse.wordpress.com,Sauzelong - Rangueil,ENSEMBLE RANGUEIL,COSEC RANGUEIL,Chemin du Canal,31400.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.629916, 1.4538959999999999
DANSE SUR GLACE,TOULOUSE SPORTS DE GLACE,www.tsgpatinage.com,Rangueil - CHR - Facultés,ENSEMBLE SPORTIF BELLEVUE,PATINOIRE BELLEVUE,Chemin de la Salade Ponsan,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,,
VOILE,TOAC section VOILE,toac.voile.free.fr/,,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,43.604268, 1.441019
YOGA,BALMA SAINT EXUPERY 31,www.bse31.com,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,43.604268, 1.441019
ATHLETISME ADAPTE (EN STADE),ASPTT section ATHLETISME,www.toulouse.asptt.com,Ginestous,ZONE RECREATIVE DE SESQUIERES,PISTE SESQUIERES,Chemin de Fenouillet,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.608715, 1.475931
BOJUTSU,ASSOCIATION ALIZARINE,shintaidotoulouse.wordpress.com,Sauzelong - Rangueil,ENSEMBLE RANGUEIL,COSEC RANGUEIL,Chemin du Canal,31400.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.629916, 1.4538959999999999
BOWLING,BOWLERS TOULOUSAINS,,Minimes,COMPLEXE PRIVÉ,Bowling des Minimes,Avenue des Minimes,31200.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.58892, 1.476583
CAPOEIRA,ASSOCIATION CAPOEIRAGEM,www.capoeiragem.fr,Bonnefoy,DOJO ABC,DOJO ABC,Rue du Docteur Ferdinand Gendre,,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,,
VOL LIBRE,AEROCLUB TOULOUSE MIDI PYRENEES,www.actmp.fr,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.609568, 1.497847
AVIRON,EMULATION NAUTIQUE DE TOULOUSE,www.aviron-tennis.fr,Ramier,COMPLEXE PRIVÉ,Emulation Nautique de Toulouse,Allée Alfred Mayssonnie,31400.0,Toulouse,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.590233, 1.436469
BASKET-BALL,TOULOUSE METROPOLE BASKET,www.baskettlfb.com/toulouse/,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
quilles de huit,S. Quilles de 8 Toulouse,,Ginestous,ZONE RECREATIVE DE SESQUIERES,BOULODROME SESQUIERES,Chemin de Fenouillet,31200.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.652951, 1.498424
CYCLISME SUR ROUTE,TOAC section CYCLISME,toac.cyclisme.free.fr/,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.693459, 1.268659
gymnastique volontaire,ASPTT section GYMNASTIQUE VOLONTAIRE,www.toulouse.asptt.com,,COMPLEXE PRIVÉ,Salle Satgé,,31770.0,Colomiers,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
gymnastique volontaire,GYM PAPUS FORM,,Papus,Complexe Papus,Salle Papus,Allée de Guyenne,31100.0,Toulouse,Non,Non,Non,Non,Non,Oui,Oui,Non,43.59637, 1.4316339999999999
nage avec palmes,TOULOUSE OLYMPIQUE PALME,,Papus,GROUPE SCOLAIRE JACQUIER,PISCINE PAPUS,Allée de Guyenne,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.852081, 1.22656
plongée,CSA DU 3°RMAT section PLONGEE,,,Extérieurs de Toulouse,Port de Banyuls sur Mer,,,A Banyuls sur Mer,Non,Non,Non,Non,Non,Oui,Non,Non,43.964092, 1.427442
FOOTBALL,ETOILE SPORTIVE SAINT SIMON,www.saintsimonfoot.fr,Saint Simon,EQUIPEMENTS PUBLICS ST SIMON,STADE MARCEL SARCOS,Chemin de Liffard,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.563793, 1.37747
FOOTBALL,JEUNESSE SPORTIVE DES PRADETTES,www.jstpradettes.com,Les Pradettes,ENSEMBLE MARCEL CERDAN,TERRAIN DE FOOTBALL STABILISE MARCEL CERDAN,Chemin de la Cépière,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.586847, 1.399413
FOOTBALL,RODEO FOOTBALL CLUB,,Roseraie,EQUIPEMENT QUARTIER AMOUROUX,TERRAIN DE SPORT CHE MICHOUN,Rue William et Catherine Booth,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.6276, 1.4706169999999998
éveil à la gym,COQUELICOT TOULOUSE GYM,www.ctgym.fr,Arnaud Bernard,LYCEE ST SERNIN MAISON MUTILE,GYMNASE SAINT SERNIN,Place Saint Sernin,31000.0,TOULOUSE,Oui,Oui,Non,Non,Non,Non,Non,Non,43.608901, 1.441787
ATHLETISME ADAPTE (EN STADE),ASMTH HANDICAP DEFI - Association Sportive Muret Toulouse Handisport,www.handicapdefi.com,Ginestous,ZONE RECREATIVE DE SESQUIERES,PISTE SESQUIERES,Chemin de Fenouillet,31200.0,TOULOUSE,Non,Non,Non,Non,Non,Non,Non,Oui,43.58443, 1.381991
JUDO ADAPTE,JUDO TOULOUSE CROIX DAURADE,jtcd.free.fr,Croix Daurade,GROUPE SCOLAIRE LAPUJADE,GYMNASE LAPUJADE,Route d' Albi,31200.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.635127, 1.463877
hochey sur gazon,TUC Section HOCKEY SUR GAZON,www.tuc.asso.fr,Juncasse - Argoulets,LES ARGOULETS,TERRAIN DE FOOTBALL ENGAZONNE ARGOULETS,Rue de Rabastens,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.589745, 1.4295879999999999
hockey sur glace,TOULOUSE BLAGNAC HOCKEY CLUB (LES BELOUGAS),www.tbhc.fr,Rangueil - CHR - Facultés,ENSEMBLE SPORTIF BELLEVUE,PATINOIRE BELLEVUE,Chemin de la Salade Ponsan,31400.0,TOULOUSE,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,,
JUDO,DOJOTONIC,www.dojotonic.com,Les Chalets,COMPLEXE PRIVÉ,Espace Tonic,Boulevard Matabiau,31000.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,43.61494, 1.444684
JUDO,UNION SPORTIVE PONT DES DEMOISELLES,,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
marche,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
ESCALADE,ESCAPADE CLUB,escapadeclub.net,,Extérieurs de Toulouse,Région Midi-Pyrénées,,,En région Midi-Pyrénées,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
AQUAGYM,TOULOUSE NAT SYNCHRO,www.toulouse-natsynchro.fr,Bellefontaine,ALBAN MINVILLE,PISCINE ALBAN MINVILLE,Allée de Bellefontaine,31100.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.608085, 1.426837
éveil aquatique,BEBES DAUPHINS TOULOUSAINS,www.bbdt31.org,Sept Deniers,GROUPE SCOLAIRE DES 7 DENIERS,PISCINE SEPT DENIERS,Route de Blagnac,31200.0,TOULOUSE,Oui,Oui,Non,Non,Non,Non,Non,Non,43.609495, 1.426012
NATATION,TOAC NATATION,www.toacnatation.org,,,,,,,Non,Non,Non,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
